Id,Id_linea,Nombre,Descripcion,Imagen,Brochure,Vademecum,Video,Params_dist,Proteina,Grasa,Humedad,Fibra,Ceniza,Eln,Orden,Keyword,Target
105,7,Super-Baby Plus Te,Alimento para aves de postura desde el 1er día hasta la semana 6 de edad,Content/img/pollo/apiaba-super-baby-40.png,Content/brochure/MANUAL_AVES_APIABA_1_23.pdf,Content/brochure/MANUAL_AVES_APIABA_24_56.pdf,,,21        ,3         ,12        ,4         ,8         ,52        ,3,NULL,NULL
106,83,Pollorina No. 1 Plus Te,Alimento para aves de postura de la semana 7 a la 10 de edad,Content/img/pollo/apiaba-pollorina-plus-40.png,Content/brochure/MANUAL_AVES_APIABA_1_23.pdf,Content/brochure/MANUAL_AVES_APIABA_24_56.pdf,,,18        ,3         ,12        ,7         ,8         ,52        ,1,NULL,NULL
107,83,Pollorina No. 2 Plus Te,Alimento para aves de postura de la semana 11 a la 13 de edad,Content/img/pollo/apiaba-pollorina-plus-40.png,Content/brochure/MANUAL_AVES_APIABA_1_23.pdf,Content/brochure/MANUAL_AVES_APIABA_24_56.pdf,,,16        ,3         ,12        ,7         ,10        ,52        ,2,NULL,NULL
108,83,Pollorina Prepostura,Alimento para aves de postura de la semana 14 a la 16 de edad,Content/img/pollo/apiaba-pollorina-plus-40.png,Content/brochure/MANUAL_AVES_APIABA_1_23.pdf,Content/brochure/MANUAL_AVES_APIABA_24_56.pdf,,,15        ,2.5       ,12        ,3.5       ,11        ,56        ,4,NULL,NULL
109,0,Pollorina Fase I,Alimento para aves de postura de la semana 17 a la 36 de edad,Content/img/pollo/apiaba-pollorina-plus-40.png,Content/brochure/MANUAL_AVES_APIABA_1_23.pdf,Content/brochure/MANUAL_AVES_APIABA_24_56.pdf,,,18        ,4         ,12        ,4         ,15        ,46        ,5,NULL,NULL
110,83,Pollorina Fase II,Alimento para aves de postura de la semana 37 a la 60 de edad,Content/img/pollo/apiaba-pollorina-plus-40.png,Content/brochure/MANUAL_AVES_APIABA_1_23.pdf,Content/brochure/MANUAL_AVES_APIABA_24_56.pdf,,,17.5      ,4         ,12        ,3.5       ,14        ,49        ,6,NULL,NULL
111,83,Pollorina Fase III,Alimento para aves de postura de la semana 61 a la 103 de edad,Content/img/pollo/apiaba-pollorina-plus-40.png,Content/brochure/MANUAL_AVES_APIABA_1_23.pdf,Content/brochure/MANUAL_AVES_APIABA_24_56.pdf,,,17        ,5         ,12        ,3.5       ,14        ,48.5      ,7,NULL,NULL
112,83,Pollorina Pelecha Completo,Alimento para aves de postura de 2o ciclo,Content/img/pollo/apiaba-pollorina-plus-40.png,Content/brochure/MANUAL_AVES_APIABA_1_23.pdf,Content/brochure/MANUAL_AVES_APIABA_24_56.pdf,,,16        ,3.5       ,12        ,3.5       ,15.5      ,49.5      ,8,NULL,NULL
113,64,Pone Oro Iniciacion,Alimento para aves de postura de la semana 0 a la 10 de edad,Content/img/pollo/apiaba-pone-oro-balance-40.png,Content/brochure/MANUAL_AVES_APIABA_1_23.pdf,Content/brochure/MANUAL_AVES_APIABA_24_56.pdf,,,16        ,2.5       ,12        ,7         ,9         ,53.5      ,NULL,NULL,MVZ|PROD|DIST
114,64,Pone Oro Desarrollo,Alimento para aves de postura de la semana 11 a la 18 de edad,Content/img/pollo/apiaba-pone-oro-balance-40.png,Content/brochure/MANUAL_AVES_APIABA_1_23.pdf,Content/brochure/MANUAL_AVES_APIABA_24_56.pdf,,,10        ,2         ,12        ,8         ,10        ,58        ,NULL,NULL,MVZ|PROD|DIST
115,64,Pone Oro 16% Plus Te,Alimento para gallinas a partir de que han roto postura y durante todo el ciclo productivo,Content/img/pollo/apiaba-pone-oro-balance-40.png,Content/brochure/MANUAL_AVES_APIABA_1_23.pdf,Content/brochure/MANUAL_AVES_APIABA_24_56.pdf,,,16        ,3         ,12        ,5         ,16        ,48        ,NULL,NULL,MVZ|PROD|DIST
